datum,pflicht,marker,reader_activity,routing,overnight,layover,old_klass,old_eur,new_role,new_location,new_in_tour,new_tour_dest,new_is_standby_hotel,new_is_layover_free,golden_klass,golden_land,golden_eur,shadow_recommendation,risk
2025-09-18,,OFF ==,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-09-19,,==,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-09-20,✓,==,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,Z72,Deutschland,14,Phase 3 classify (alt=Frei → golden=Z72),med
2025-09-21,,15370 PU,same_day,FRA→DUS,False,,ZeroDay,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-09-22,,==,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-09-23,,==,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-09-24,,==,frei,FRA,False,,Frei,0,non_tour,unknown,False,,False,False,NOT_IN_GOLDEN,,0,keep non_tour,none
2025-09-25,,15688 PU,tour,FRA→BER→KRK,True,KRK,Z76,23.0,tour_start,foreign_layover,True,KRK,False,False,NOT_IN_GOLDEN,,0,Tour-First should NOT count (Golden=Frei),low (AeroTAX overcount)
2025-09-26,✓,15688 PU (Day 2),tour,KRK→FRA→IST,True,IST,Z74,28.0,tour_mid,foreign_layover,True,KRK,False,False,Z76,Bulgarien,15,Phase 3 classify (alt=Z74 → golden=Z76),med
2025-09-27,✓,15688 PU (Day 3),tour,IST→FRA→AGP,True,AGP,Z73,14.0,tour_mid,foreign_layover,True,KRK,False,False,Z74,Deutschland,28,Phase 3 classify (alt=Z73 → golden=Z74),med
