datum,cas_marker,activity_type,routing,layover_ort,overnight,starts_at_homebase,ends_at_homebase,duty_min,has_fl,aerotax_klass,aerotax_eur,aerotax_reason,aerotax_bmf_land,aerotax_counted_as_workday,golden_klass,golden_land,golden_eur,golden_dauer_h,golden_pos_in_tour,golden_is_anreise,golden_is_abreise,klass_match,eur_diff
2025-03-17,83003 PU,same_day,FRA→MXP→GVA,,False,True,True,530,False,Z76,44.0,"Same-Day Auslandstrip GVA (Z76 >8h, prev_overnight=true Sonnet-Lesefehler)",Schweiz – Genf,True,Z76,Schweiz - Genf,44,11.683333333333334,1/1,True,True,True,0.0
2025-03-18,EH 4 SECCRM 4,training,FRA,,False,True,True,510,False,Z72,14.0,"Schulung Inland >8h (total 570min, duty_plus_commute) → Z72 14€",,True,Z72,Deutschland,14,10.333333333333334,1/1,True,True,True,0.0
2025-03-19,EMCRM 4,training,FRA,,False,True,True,480,False,Z72,14.0,"Schulung Inland >8h (total 540min, duty_plus_commute) → Z72 14€",,True,Z72,Deutschland,14,9.833333333333334,1/1,True,True,True,0.0
2025-03-20,==,frei,,,False,False,False,0,False,Frei,0,frei,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-03-21,ORTSTAG OF,office,,,False,True,True,0,False,Office,0,Office am Homebase — AT + FT,,True,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-03-22,83343 PU,same_day,FRA→TOS,,False,True,True,510,False,Z72,14.0,Same-Day Z72 — total=570min (duty_plus_commute) ≥ 480min,,True,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,-14.0
2025-03-23,73724 P1,tour,FRA→IAD,IAD,True,True,False,774,False,Z76,42.0,Auslands-Layover BOS (Z76 An/Ab),Vereinigte Staaten von Amerika (USA) – Boston,True,Z76,Vereinigte Staaten von Amerika (USA) - Boston,42,15.583333333333334,1/3,True,False,True,0.0
2025-03-24,419,tour,IAD,IAD,True,False,False,69,False,Z76,42.0,Auslands-Layover BOS (Z76 An/Ab),Vereinigte Staaten von Amerika (USA) – Boston,True,Z76,Vereinigte Staaten von Amerika (USA) - Boston,63,24.0,2/3,False,False,True,-21.0
2025-03-25,X,same_day,IAD→FRA,,False,True,True,455,False,Z76,42.0,"Same-Day Auslandstrip BOS (Z76 >8h, prev_overnight=true Sonnet-Lesefehler)",Vereinigte Staaten von Amerika (USA) – Boston,True,Z76,Vereinigte Staaten von Amerika (USA) - Boston,42,6.566666666666666,3/3,False,True,True,0.0
2025-03-26,==,frei,,,False,False,False,0,False,Frei,0,frei,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-03-27,ORTSTAG,office,,,False,True,True,0,False,Office,0,Office am Homebase — AT + FT,,True,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-03-28,EM /1,training,FRA,,False,True,True,210,False,Office,0,Schulung am Homebase,,True,NO_VMA,-,0,5.333333333333333,1/1,True,True,False,0
2025-03-29,74016 P1,tour,FRA→BOM,BOM,True,True,False,814,False,Z76,28.0,"Auslandstour-An/Ab (Homebase-Stempel FRA, Ziel ?) Z76",Indien – Mumbai,True,Z73,Deutschland,14,14.25,1/4,True,False,False,14.0
2025-03-30,X BOM,frei,,BOM,True,False,False,0,False,Frei,0,frei,,False,Z76,Indien - Mumbai,36,23.0,2/4,False,False,False,-36
2025-03-31,757,tour,BOM→FRA,BOM,True,False,False,169,False,Z73,14.0,Auslandstour-Anreise mit Abend-Briefing 21:10 (>= 18:00) → Inland-Anreise 14€,,True,Z76,Indien - Mumbai,53,24.0,3/4,False,False,False,-39.0
2025-04-01,==,frei,,,False,False,False,0,False,Frei,0,frei,,False,Z76,Indien - Mumbai,36,9.566666666666666,4/4,False,True,False,-36
2025-04-02,==,frei,,,False,False,False,0,False,Frei,0,frei,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-04-03,==,frei,,,False,False,False,0,False,Frei,0,frei,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-04-04,==,frei,,,False,False,False,0,False,Frei,0,frei,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-04-05,ORTSTAG,office,,,False,True,True,0,False,Office,0,Office am Homebase — AT + FT,,True,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-04-06,ORTSTAG,office,,,False,True,True,0,False,Office,0,Office am Homebase — AT + FT,,True,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-04-07,ORTSTAG FRS,office,FRA,,False,True,True,1439,False,Z72,14.0,"Office Inland >8h (total 1499min, duty_plus_commute) → Z72 14€",,True,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,-14.0
2025-04-08,90064 P1/KO,tour,FRA→ICN,ICN,True,True,False,619,False,Z76,32.0,"Auslandstour-An/Ab (Homebase-Stempel FRA, Ziel SEL) Z76","Korea, Republik",True,Z73,Deutschland,14,11.0,1/4,True,False,False,18.0
2025-04-09,LH712-1 cont.,tour,FRA→ICN,ICN,True,False,False,55,False,Z76,32.0,Auslands-Layover SEL (Z76 An/Ab),"Korea, Republik",True,Z76,Republik Korea,48,24.0,2/4,False,False,True,-16.0
2025-04-10,X,frei,ICN,ICN,True,False,False,0,False,Frei,0,frei,,False,Z76,Republik Korea,48,24.0,3/4,False,False,False,-48
2025-04-11,LH713,same_day,ICN→FRA,,False,True,True,785,False,Z76,32.0,"Same-Day Auslandstrip SEL (Z76 >8h, prev_overnight=true Sonnet-Lesefehler)","Korea, Republik",True,Z76,Republik Korea,32,19.85,4/4,False,True,True,0.0
2025-04-12,OFF,frei,,,False,False,False,0,False,Frei,0,frei,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-04-13,OFF,frei,,,False,False,False,0,False,Frei,0,frei,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-04-14,OFF,frei,,,False,False,False,0,False,Frei,0,frei,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-04-15,OFF,frei,,,False,False,False,0,False,Frei,0,frei,,False,FREI/NICHT-IN-GOLDEN,,0,,/,,,False,0
2025-04-16,90481 P1,tour,FRA→IKA,IKA,True,True,False,689,False,Z76,22.0,Auslands-Layover THR (Z76 An/Ab),Iran,True,Z76,Iran,22,12.166666666666666,1/3,True,False,True,0.0
2025-04-17,LH601,tour,IKA→FRA,IKA,True,False,False,109,False,Z76,22.0,Auslands-Layover THR (Z76 An/Ab),Iran,True,Z76,Iran,33,24.0,2/3,False,False,True,-11.0
